Node	X	Y	Connected_Nodes
1924_4427	1924	4427	1926_4440
1926_4440	1926	4440	1924_4427,1931_4452
1931_4452	1931	4452	1926_4440,1938_4460
1938_4460	1938	4460	1931_4452,1947_4468
1947_4468	1947	4468	1938_4460,1955_4477
1955_4477	1955	4477	1947_4468,1962_4485
1962_4485	1962	4485	1955_4477,1969_4494
1969_4494	1969	4494	1962_4485,1963_4501,1980_4493
1963_4501	1963	4501	1969_4494,1959_4501,1952_4510
1959_4501	1959	4501	1963_4501
1952_4510	1952	4510	1963_4501,1956_4515,1941_4520
1956_4515	1956	4515	1952_4510
1941_4520	1941	4520	1952_4510,1933_4511,1933_4528
1933_4511	1933	4511	1941_4520
1933_4528	1933	4528	1941_4520,1923_4536
1923_4536	1923	4536	1933_4528,1915_4525,1924_4552
1915_4525	1915	4525	1923_4536
1924_4552	1924	4552	1923_4536,1931_4558
1931_4558	1931	4558	1924_4552,1934_4553,1939_4566
1934_4553	1934	4553	1931_4558
1939_4566	1939	4566	1931_4558,1947_4573
1947_4573	1947	4573	1939_4566,1954_4582
1954_4582	1954	4582	1947_4573,1962_4591,1960_4569
1962_4591	1962	4591	1954_4582,1970_4600
1970_4600	1970	4600	1962_4591,1975_4603
1975_4603	1975	4603	1970_4600,1979_4596
1979_4596	1979	4596	1975_4603,1980_4594
1980_4594	1980	4594	1979_4596
1960_4569	1960	4569	1954_4582,1968_4558
1968_4558	1968	4558	1960_4569,1976_4549
1976_4549	1976	4549	1968_4558,1984_4541
1984_4541	1984	4541	1976_4549,1991_4533
1991_4533	1991	4533	1984_4541,2003_4519
2003_4519	2003	4519	1991_4533,2000_4514,2012_4511
2000_4514	2000	4514	2003_4519
2012_4511	2012	4511	2003_4519,2019_4503
2019_4503	2019	4503	2012_4511,2011_4494
2011_4494	2011	4494	2019_4503,2001_4487
2001_4487	2001	4487	2011_4494,1993_4482
1993_4482	1993	4482	2001_4487,1999_4471,1984_4489
1999_4471	1999	4471	1993_4482
1984_4489	1984	4489	1993_4482,1980_4493
1980_4493	1980	4493	1969_4494,1984_4489,1981_4498
1981_4498	1981	4498	1980_4493
