Node	X	Y	Connected_Nodes
1720_3045	1720	3045	1707_3063,1733_3064,1735_3031,1707_3033
1707_3063	1707	3063	1720_3045,1733_3064,1707_3033,1692_3021
1733_3064	1733	3064	1720_3045,1707_3063,1735_3031,1738_3082
1735_3031	1735	3031	1720_3045,1733_3064,1707_3033,1745_3019
1707_3033	1707	3033	1720_3045,1707_3063,1735_3031,1692_3021
1692_3021	1692	3021	1707_3063,1707_3033,1686_2975
1686_2975	1686	2975	1692_3021,1725_2873
1725_2873	1725	2873	1692_3021,1785_2968,1764_2787
1785_2968	1785	2968	1725_2873,1745_3019,1809_3077,1822_2923
1745_3019	1745	3019	1735_3031,1785_2968
1738_3082	1738	3082	1733_3064,1761_3103
1761_3103	1761	3103	1738_3082,1809_3077
1809_3077	1809	3077	1785_2968,1761_3103,1855_3058
1855_3058	1855	3058	1809_3077,1867_3036
1867_3036	1867	3036	1855_3058,1822_2923,1933_2941
1822_2923	1822	2923	1785_2968,1867_3036,1849_2876,1816_2878
1849_2876	1849	2876	1822_2923,1816_2878,1864_2839,1881_2864
1816_2878	1816	2878	1822_2923,1849_2876,1764_2787
1764_2787	1764	2787	1725_2873,1816_2878,1807_2739
1807_2739	1807	2739	1764_2787,1847_2802,1848_2688
1847_2802	1847	2802	1807_2739,1864_2839
1864_2839	1864	2839	1849_2876,1847_2802,1881_2864,1913_2785
1881_2864	1881	2864	1864_2839,1933_2941
1933_2941	1933	2941	1867_3036,1881_2864,1971_2880
1971_2880	1971	2880	1933_2941,1913_2785,2010_2807
1913_2785	1913	2785	1864_2839,1971_2880,1888_2768,1944_2726
1888_2768	1888	2768	1913_2785,1848_2688
1848_2688	1848	2688	1807_2739,1888_2768,1914_2648
1914_2648	1914	2648	1848_2688,1938_2677
1938_2677	1938	2677	1914_2648,1952_2687
1952_2687	1952	2687	1938_2677,1954_2716,1966_2701,1980_2684
1944_2726	1944	2726	1913_2785,1954_2716
1954_2716	1954	2716	1952_2687,1944_2726,1966_2701,1978_2717
1966_2701	1966	2701	1952_2687,1954_2716,1980_2684,1978_2717
1980_2684	1980	2684	1952_2687,1966_2701,1978_2717
1978_2717	1978	2717	1954_2716,1966_2701,1980_2684,2001_2747
2001_2747	2001	2747	1978_2717,2010_2807
2010_2807	2010	2807	1971_2880,2001_2747
