Node	X	Y	Connected_Nodes
1559_3107	1559	3107	1554_3112
1554_3112	1554	3112	1559_3107,1563_3120
1563_3120	1563	3120	1554_3112,1566_3116,1572_3129
1566_3116	1566	3116	1563_3120
1572_3129	1572	3129	1563_3120,1580_3119,1579_3137,1571_3118,1562_3136
1580_3119	1580	3119	1572_3129,1588_3110
1588_3110	1588	3110	1580_3119,1597_3102
1597_3102	1597	3102	1588_3110,1605_3093
1605_3093	1605	3093	1597_3102,1612_3087,1609_3097
1612_3087	1612	3087	1605_3093,1618_3090
1618_3090	1618	3090	1612_3087
1579_3137	1579	3137	1572_3129,1587_3144
1587_3144	1587	3144	1579_3137,1595_3152
1595_3152	1595	3152	1587_3144,1601_3159
1601_3159	1601	3159	1595_3152,1608_3165
1608_3165	1608	3165	1601_3159,1599_3173,1614_3160
1599_3173	1599	3173	1608_3165,1591_3182
1591_3182	1591	3182	1599_3173,1592_3192,1591_3171
1592_3192	1592	3192	1591_3182,1598_3198,1580_3193
1598_3198	1598	3198	1592_3192,1602_3191,1611_3209
1602_3191	1602	3191	1598_3198
1611_3209	1611	3209	1598_3198,1619_3201,1603_3216
1619_3201	1619	3201	1611_3209,1624_3205,1617_3195,1627_3193
1624_3205	1624	3205	1619_3201
1617_3195	1617	3195	1619_3201
1627_3193	1627	3193	1619_3201,1636_3185
1636_3185	1636	3185	1627_3193,1644_3176,1629_3176
1644_3176	1644	3176	1636_3185,1650_3168
1650_3168	1650	3168	1644_3176,1647_3165,1659_3160
1647_3165	1647	3165	1650_3168
1659_3160	1659	3160	1650_3168,1657_3156
1657_3156	1657	3156	1659_3160
1580_3193	1580	3193	1592_3192,1572_3201
1572_3201	1572	3201	1580_3193,1563_3208
1563_3208	1563	3208	1572_3201,1559_3206,1554_3217
1559_3206	1559	3206	1563_3208
1554_3217	1554	3217	1563_3208,1544_3228
1544_3228	1544	3228	1554_3217,1543_3218,1540_3233
1543_3218	1543	3218	1544_3228
1540_3233	1540	3233	1544_3228,1530_3242,1548_3240
1530_3242	1530	3242	1540_3233,1525_3237
1525_3237	1525	3237	1530_3242,1520_3230
1520_3230	1520	3230	1525_3237
1591_3171	1591	3171	1591_3182
1614_3160	1614	3160	1608_3165,1614_3151,1622_3151,1622_3170
1614_3151	1614	3151	1614_3160
1622_3151	1622	3151	1614_3160,1630_3141
1630_3141	1630	3141	1622_3151,1640_3130
1640_3130	1640	3130	1630_3141,1631_3120
1631_3120	1631	3120	1640_3130,1622_3111
1622_3111	1622	3111	1631_3120,1616_3105
1616_3105	1616	3105	1622_3111,1618_3102,1609_3097
1618_3102	1618	3102	1616_3105
1609_3097	1609	3097	1605_3093,1616_3105
1603_3216	1603	3216	1611_3209,1596_3223
1596_3223	1596	3223	1603_3216,1598_3232,1590_3231
1598_3232	1598	3232	1596_3223,1606_3240
1606_3240	1606	3240	1598_3232,1615_3248
1615_3248	1615	3248	1606_3240,1623_3257
1623_3257	1623	3257	1615_3248,1630_3263
1630_3263	1630	3263	1623_3257,1632_3259,1638_3272
1632_3259	1632	3259	1630_3263
1638_3272	1638	3272	1630_3263,1646_3280,1641_3270
1646_3280	1646	3280	1638_3272,1652_3280
1652_3280	1652	3280	1646_3280
1548_3240	1548	3240	1540_3233,1556_3248
1556_3248	1556	3248	1548_3240,1565_3257
1565_3257	1565	3257	1556_3248,1573_3248,1575_3267
1573_3248	1573	3248	1565_3257,1581_3239
1581_3239	1581	3239	1573_3248,1590_3231
1590_3231	1590	3231	1596_3223,1581_3239
1571_3118	1571	3118	1572_3129
1562_3136	1562	3136	1572_3129,1550_3146
1550_3146	1550	3146	1562_3136,1539_3158
1539_3158	1539	3158	1550_3146,1528_3169
1528_3169	1528	3169	1539_3158,1517_3180
1517_3180	1517	3180	1528_3169,1507_3191
1507_3191	1507	3191	1517_3180,1516_3200
1516_3200	1516	3200	1507_3191,1526_3210
1526_3210	1526	3210	1516_3200,1536_3220
1536_3220	1536	3220	1526_3210
1575_3267	1575	3267	1565_3257,1589_3282
1589_3282	1589	3282	1575_3267,1599_3271
1599_3271	1599	3271	1589_3282,1609_3262
1609_3262	1609	3262	1599_3271,1618_3253
1618_3253	1618	3253	1609_3262,1631_3239
1631_3239	1631	3239	1618_3253,1640_3230
1640_3230	1640	3230	1631_3239,1654_3215
1654_3215	1654	3215	1640_3230,1642_3201
1642_3201	1642	3201	1654_3215
1622_3170	1622	3170	1614_3160,1629_3176
1629_3176	1629	3176	1636_3185,1622_3170
1641_3270	1641	3270	1638_3272
