Node	X	Y	Connected_Nodes
1579_3237	1579	3237	1586_3230
1586_3230	1586	3230	1579_3237,1594_3222
1594_3222	1594	3222	1586_3230,1601_3213
1601_3213	1601	3213	1594_3222,1598_3210,1603_3204
1598_3210	1598	3210	1601_3213
1603_3204	1603	3204	1601_3213,1608_3196,1598_3192
1608_3196	1608	3196	1603_3204,1616_3189
1616_3189	1616	3189	1608_3196,1622_3182
1622_3182	1622	3182	1616_3189,1625_3173,1615_3173,1628_3195
1625_3173	1625	3173	1622_3182
1615_3173	1615	3173	1622_3182,1611_3168,1608_3179
1611_3168	1611	3168	1615_3173
1608_3179	1608	3179	1615_3173,1595_3177
1595_3177	1595	3177	1608_3179,1599_3171,1598_3192,1586_3167
1599_3171	1599	3171	1595_3177
1598_3192	1598	3192	1603_3204,1595_3177,1600_3188
1600_3188	1600	3188	1598_3192
1586_3167	1586	3167	1595_3177,1580_3159
1580_3159	1580	3159	1586_3167,1584_3155
1584_3155	1584	3155	1580_3159
1628_3195	1628	3195	1622_3182
