PathName	X	Y	isExact
bienkinh1	1724	3251	0
bienkinh1	1731	3262	0
bienkinh1	1735	3266	0
bienkinh1	1743	3274	0
bienkinh1	1755	3272	0
bienkinh1	1764	3269	0
bienkinh1	1765	3279	0
bienkinh1	1767	3286	0
bienkinh1	1770	3293	0
bienkinh1	1773	3298	0
bienkinh1	1774	3304	0
bienkinh1	1772	3313	0
bienkinh1	1769	3324	0
bienkinh1	1769	3340	0
bienkinh1	1768	3350	0
bienkinh1	1762	3360	0
bienkinh1	1757	3362	0
bienkinh1	1758	3373	0
bienkinh1	1760	3381	0
bienkinh1	1763	3392	0
bienkinh1	1766	3403	0
bienkinh1	1765	3416	0
bienkinh1	1764	3424	0
bienkinh1	1752	3437	0
bienkinh1	1747	3441	0
bienkinh1	1743	3445	0
bienkinh1	1736	3443	0
bienkinh1	1730	3440	0
bienkinh1	1726	3436	0
bienkinh1	1720	3436	0
bienkinh1	1714	3437	0
bienkinh1	1704	3440	0
bienkinh1	1693	3447	0
bienkinh1	1684	3454	0
bienkinh1	1676	3460	0
bienkinh1	1661	3464	0
bienkinh1	1653	3466	0
bienkinh1	1645	3466	0
bienkinh1	1631	3467	0
bienkinh1	1624	3459	0
bienkinh1	1621	3449	0
bienkinh1	1619	3441	0
bienkinh1	1615	3432	0
bienkinh1	1611	3423	0
bienkinh1	1609	3417	0
bienkinh1	1605	3410	0
bienkinh1	1601	3402	0
bienkinh1	1594	3389	0
bienkinh1	1594	3387	0
bienkinh1	1594	3378	0
bienkinh1	1593	3369	0
bienkinh1	1590	3361	0
bienkinh1	1587	3352	0
bienkinh1	1583	3345	0
bienkinh1	1581	3337	0
bienkinh1	1581	3327	0
bienkinh1	1582	3318	0
bienkinh1	1584	3310	0
bienkinh1	1583	3301	0
bienkinh1	1581	3295	0
bienkinh1	1579	3285	0
bienkinh1	1579	3276	0
bienkinh1	1581	3267	0
bienkinh1	1588	3259	0
bienkinh1	1593	3249	0
bienkinh1	1591	3239	0
bienkinh1	1583	3237	0
bienkinh1	1589	3245	0
bienkinh1	1600	3238	0
bienkinh1	1602	3230	0
bienkinh1	1611	3218	0
bienkinh1	1618	3212	0
bienkinh1	1627	3206	0
bienkinh1	1635	3198	0
bienkinh1	1643	3187	0
bienkinh1	1655	3199	0
bienkinh1	1664	3211	0
bienkinh1	1666	3214	0
bienkinh1	1666	3228	0
bienkinh1	1672	3235	0
bienkinh1	1682	3229	0
bienkinh1	1695	3216	0
bienkinh1	1707	3203	0
bienkinh1	1713	3197	0
bienkinh1	1720	3189	0
bienkinh1	1723	3187	0
bienkinh1	1729	3181	0
bienkinh1	1735	3175	0
bienkinh1	1741	3169	0
bienkinh1	1749	3162	0
bienkinh1	1744	3155	0
bienkinh1	1736	3144	0
bienkinh1	1726	3134	0
bienkinh1	1717	3124	0
bienkinh1	1708	3118	0
bienkinh1	1701	3123	0
bienkinh1	1686	3136	0
bienkinh1	1679	3146	0
bienkinh1	1669	3158	0
bienkinh1	1663	3164	0
bienkinh1	1655	3169	0
bienkinh1	1649	3161	0
bienkinh1	1643	3154	0
bienkinh1	1636	3147	0
bienkinh1	1629	3140	0
bienkinh1	1621	3132	0
bienkinh1	1615	3125	0
bienkinh1	1606	3116	0
bienkinh1	1597	3107	0
bienkinh1	1589	3101	0
bienkinh1	1609	3081	0
bienkinh1	1620	3068	0
bienkinh1	1630	3058	0
bienkinh1	1640	3050	0
bienkinh1	1650	3059	0
bienkinh1	1658	3068	0
bienkinh1	1663	3074	0
bienkinh1	1671	3083	0
bienkinh1	1678	3090	0
bienkinh1	1689	3098	0
bienkinh1	1694	3104	0
bienkinh1	1712	3122	0
bienkinh1	1716	3127	0
bienkinh1	1723	3135	0
bienkinh1	1729	3142	0
bienkinh1	1737	3150	0
bienkinh1	1749	3162	0
bienkinh1	1743	3168	0
bienkinh1	1724	3187	0
bienkinh1	1716	3196	0
bienkinh1	1704	3206	0
bienkinh1	1694	3219	0
bienkinh1	1682	3228	0
bienkinh1	1673	3230	0
bienkinh1	1667	3227	0
bienkinh1	1663	3223	0
bienkinh1	1665	3208	0
bienkinh1	1660	3203	0
bienkinh1	1654	3198	0
bienkinh1	1644	3188	0
bienkinh1	1647	3180	0
bienkinh1	1654	3173	0
bienkinh1	1662	3164	0
bienkinh1	1669	3158	0
bienkinh1	1683	3147	0
bienkinh1	1696	3162	0
bienkinh1	1707	3174	0
bienkinh1	1713	3180	0
bienkinh1	1721	3189	0
bienkinh1	1711	3199	0
bienkinh1	1704	3206	0
bienkinh1	1698	3213	0
bienkinh1	1699	3223	0
bienkinh1	1708	3232	0
bienkinh1	1713	3237	0
bienkinh1	1722	3249	0
bienkinh1	1725	3253	0
bienkinh1	1730	3259	0
bienkinh2	1726	3099	0
bienkinh2	1730	3096	0
bienkinh2	1738	3088	0
bienkinh2	1749	3075	0
bienkinh2	1758	3078	0
bienkinh2	1761	3081	0
bienkinh2	1767	3087	0
bienkinh2	1773	3097	0
bienkinh2	1779	3105	0
bienkinh2	1787	3110	0
bienkinh2	1794	3112	0
bienkinh2	1806	3109	0
bienkinh2	1814	3101	0
bienkinh2	1821	3091	0
bienkinh2	1826	3085	0
bienkinh2	1833	3077	0
bienkinh2	1842	3070	0
bienkinh2	1849	3063	0
bienkinh2	1860	3053	0
bienkinh2	1865	3046	0
