Node	X	Y	Connected_Nodes
1319_3460	1319	3460	1331_3444,1344_3461,1319_3430,1308_3430
1331_3444	1331	3444	1319_3460,1347_3424,1344_3461,1319_3430
1347_3424	1347	3424	1331_3444,1344_3461,1360_3407,1319_3430
1344_3461	1344	3461	1319_3460,1331_3444,1347_3424,1347_3481
1347_3481	1347	3481	1344_3461,1370_3486
1370_3486	1370	3486	1347_3481,1398_3448
1398_3448	1398	3448	1370_3486,1418_3387
1418_3387	1418	3387	1398_3448,1437_3348,1398_3358
1437_3348	1437	3348	1418_3387,1412_3333,1458_3313
1412_3333	1412	3333	1437_3348,1397_3325
1397_3325	1397	3325	1412_3333,1398_3358,1370_3324
1398_3358	1398	3358	1418_3387,1397_3325,1360_3407,1370_3324
1360_3407	1360	3407	1347_3424,1398_3358
1319_3430	1319	3430	1319_3460,1331_3444,1347_3424,1308_3430
1308_3430	1308	3430	1319_3460,1319_3430,1302_3416
1302_3416	1302	3416	1308_3430,1308_3377
1308_3377	1308	3377	1302_3416,1345_3344
1345_3344	1345	3344	1308_3377,1370_3324
1370_3324	1370	3324	1397_3325,1398_3358,1345_3344
1458_3313	1458	3313	1437_3348,1448_3285,1513_3337,1485_3280
1448_3285	1448	3285	1458_3313,1463_3251
1513_3337	1513	3337	1458_3313,1528_3313
1528_3313	1528	3313	1513_3337,1485_3280,1549_3319
1485_3280	1485	3280	1458_3313,1528_3313,1463_3251,1530_3246
1463_3251	1463	3251	1448_3285,1485_3280,1485_3194
1485_3194	1485	3194	1463_3251,1515_3149
1515_3149	1515	3149	1485_3194,1542_3164
1542_3164	1542	3164	1515_3149,1554_3181
1554_3181	1554	3181	1542_3164,1586_3181,1571_3198,1554_3216
1586_3181	1586	3181	1554_3181,1571_3198,1585_3218,1609_3229
1571_3198	1571	3198	1554_3181,1586_3181,1585_3218,1554_3216
1585_3218	1585	3218	1586_3181,1571_3198,1554_3216,1609_3229
1554_3216	1554	3216	1554_3181,1571_3198,1585_3218,1530_3246
1530_3246	1530	3246	1485_3280,1554_3216
1609_3229	1609	3229	1586_3181,1585_3218,1610_3263
1610_3263	1610	3263	1609_3229,1549_3319
1549_3319	1549	3319	1528_3313,1610_3263
