Node	X	Y	Connected_Nodes
1710_3308	1710	3308	1713_3303,1704_3301
1713_3303	1713	3303	1710_3308
1704_3301	1704	3301	1710_3308,1697_3294
1697_3294	1697	3294	1704_3301,1690_3287
1690_3287	1690	3287	1697_3294,1683_3280
1683_3280	1683	3280	1690_3287,1678_3273
1678_3273	1678	3273	1683_3280,1683_3270,1672_3265
1683_3270	1683	3270	1678_3273
1672_3265	1672	3265	1678_3273,1668_3270,1666_3259
1668_3270	1668	3270	1672_3265
1666_3259	1666	3259	1672_3265,1660_3252
1660_3252	1660	3252	1666_3259,1665_3245,1653_3257
1665_3245	1665	3245	1660_3252,1670_3240
1670_3240	1670	3240	1665_3245,1677_3233
1677_3233	1677	3233	1670_3240,1682_3229
1682_3229	1682	3229	1677_3233,1688_3222
1688_3222	1688	3222	1682_3229,1693_3217
1693_3217	1693	3217	1688_3222,1699_3210
1699_3210	1699	3210	1693_3217,1705_3204
1705_3204	1705	3204	1699_3210
1653_3257	1653	3257	1660_3252,1648_3263
1648_3263	1648	3263	1653_3257,1643_3267
1643_3267	1643	3267	1648_3263,1638_3272
1638_3272	1638	3272	1643_3267,1631_3279
1631_3279	1631	3279	1638_3272,1625_3285
1625_3285	1625	3285	1631_3279,1617_3293
1617_3293	1617	3293	1625_3285
