Node	X	Y	Connected_Nodes
1607_3163	1607	3163	1607_3175,1639_3198
1607_3175	1607	3175	1607_3163,1614_3182
1614_3182	1614	3182	1607_3175,1615_3178,1619_3190,1609_3190
1615_3178	1615	3178	1614_3182
1619_3190	1619	3190	1614_3182,1630_3190
1630_3190	1630	3190	1619_3190,1637_3187,1639_3198
1637_3187	1637	3187	1630_3190
1639_3198	1639	3198	1607_3163,1630_3190,1645_3193,1648_3200
1645_3193	1645	3193	1639_3198
1648_3200	1648	3200	1639_3198,1655_3207
1655_3207	1655	3207	1648_3200,1662_3215
1662_3215	1662	3215	1655_3207,1666_3226
1666_3226	1666	3226	1662_3215,1668_3240
1668_3240	1668	3240	1666_3226,1661_3248
1661_3248	1661	3248	1668_3240,1655_3256
1655_3256	1655	3256	1661_3248,1651_3252,1658_3265
1651_3252	1651	3252	1655_3256
1658_3265	1658	3265	1655_3256,1665_3273,1651_3274
1665_3273	1665	3273	1658_3265,1668_3269,1660_3280
1668_3269	1668	3269	1665_3273
1660_3280	1660	3280	1665_3273
1651_3274	1651	3274	1658_3265,1647_3288,1642_3276
1647_3288	1647	3288	1651_3274,1641_3298
1641_3298	1641	3298	1647_3288,1633_3307
1633_3307	1633	3307	1641_3298,1630_3305
1630_3305	1630	3305	1633_3307
1642_3276	1642	3276	1651_3274,1633_3272
1633_3272	1633	3272	1642_3276,1622_3271
1622_3271	1622	3271	1633_3272,1616_3280,1615_3262
1616_3280	1616	3280	1622_3271,1610_3287
1610_3287	1610	3287	1616_3280,1607_3283
1607_3283	1607	3283	1610_3287
1615_3262	1615	3262	1622_3271,1608_3253
1608_3253	1608	3253	1615_3262,1602_3244
1602_3244	1602	3244	1608_3253,1592_3232
1592_3232	1592	3232	1602_3244,1595_3228,1584_3224
1595_3228	1595	3228	1592_3232
1584_3224	1584	3224	1592_3232,1585_3210
1585_3210	1585	3210	1584_3224,1593_3202
1593_3202	1593	3202	1585_3210,1602_3194
1602_3194	1602	3194	1593_3202,1609_3190
1609_3190	1609	3190	1614_3182,1602_3194
