Node	X	Y	Connected_Nodes
1384_2751	1384	2751	1357_2538
1357_2538	1357	2538	1384_2751,1264_2437,1265_2559,1486_2520,1506_2389
1264_2437	1264	2437	1357_2538,1265_2559,1201_2577,1486_2520,1506_2389
1265_2559	1265	2559	1357_2538,1264_2437,1201_2577,1248_2635,1281_2746
1201_2577	1201	2577	1264_2437,1265_2559,1235_2937
1248_2635	1248	2635	1265_2559,1281_2746,1235_2937
1281_2746	1281	2746	1265_2559,1248_2635,1235_2937,1297_3007
1235_2937	1235	2937	1201_2577,1248_2635,1281_2746,1402_2958
1297_3007	1297	3007	1281_2746,1402_2958,1478_2992
1402_2958	1402	2958	1235_2937,1297_3007,1478_2992,1538_2919
1478_2992	1478	2992	1297_3007,1402_2958,1474_2785
1538_2919	1538	2919	1402_2958,1474_2785
1474_2785	1474	2785	1478_2992,1538_2919,1486_2520,1558_2443,1506_2389,1457_2673
1486_2520	1486	2520	1357_2538,1264_2437,1474_2785,1558_2443,1506_2389,1457_2673
1558_2443	1558	2443	1474_2785,1486_2520
1506_2389	1506	2389	1357_2538,1264_2437,1474_2785,1486_2520
1457_2673	1457	2673	1474_2785,1486_2520,1424_2749
1424_2749	1424	2749	1457_2673,1403_2791
1403_2791	1403	2791	1424_2749
