Node	X	Y	Connected_Nodes
1694_3281	1694	3281	1698_3277,1686_3272
1698_3277	1698	3277	1694_3281
1686_3272	1686	3272	1694_3281,1678_3264,1681_3275
1678_3264	1678	3264	1686_3272,1669_3256
1669_3256	1669	3256	1678_3264,1661_3247
1661_3247	1661	3247	1669_3256,1653_3239,1670_3242
1653_3239	1653	3239	1661_3247,1644_3231
1644_3231	1644	3231	1653_3239,1649_3227,1636_3221
1649_3227	1649	3227	1644_3231
1636_3221	1636	3221	1644_3231,1628_3213
1628_3213	1628	3213	1636_3221,1620_3205
1620_3205	1620	3205	1628_3213,1614_3197
1614_3197	1614	3197	1620_3205,1621_3190
1621_3190	1621	3190	1614_3197,1630_3185,1622_3178,1614_3178
1630_3185	1630	3185	1621_3190
1622_3178	1622	3178	1621_3190,1630_3169
1630_3169	1630	3169	1622_3178,1631_3157,1639_3160
1631_3157	1631	3157	1630_3169,1626_3152
1626_3152	1626	3152	1631_3157
1639_3160	1639	3160	1630_3169,1648_3151
1648_3151	1648	3151	1639_3160,1657_3142
1657_3142	1657	3142	1648_3151,1666_3133
1666_3133	1666	3133	1657_3142,1667_3126,1674_3125
1667_3126	1667	3126	1666_3133
1674_3125	1674	3125	1666_3133,1680_3118
1680_3118	1680	3118	1674_3125,1676_3114
1676_3114	1676	3114	1680_3118
1614_3178	1614	3178	1621_3190,1605_3168
1605_3168	1605	3168	1614_3178,1591_3153
1591_3153	1591	3153	1605_3168,1582_3143,1583_3160
1582_3143	1582	3143	1591_3153,1577_3133
1577_3133	1577	3133	1582_3143
1583_3160	1583	3160	1591_3153,1576_3166
1576_3166	1576	3166	1583_3160,1566_3176
1566_3176	1566	3176	1576_3166,1557_3184
1557_3184	1557	3184	1566_3176,1549_3192
1549_3192	1549	3192	1557_3184,1541_3200,1556_3201
1541_3200	1541	3200	1549_3192,1536_3200,1532_3209
1536_3200	1536	3200	1541_3200
1532_3209	1532	3209	1541_3200,1522_3218
1522_3218	1522	3218	1532_3209,1513_3227
1513_3227	1513	3227	1522_3218,1504_3217,1522_3233,1507_3237
1504_3217	1504	3217	1513_3227,1500_3210
1500_3210	1500	3210	1504_3217
1556_3201	1556	3201	1549_3192,1564_3209
1564_3209	1564	3209	1556_3201,1572_3217
1572_3217	1572	3217	1564_3209,1584_3228
1584_3228	1584	3228	1572_3217,1589_3223
1589_3223	1589	3223	1584_3228,1586_3221
1586_3221	1586	3221	1589_3223
1670_3242	1670	3242	1661_3247,1672_3234
1672_3234	1672	3234	1670_3242
1522_3233	1522	3233	1513_3227,1531_3241
1531_3241	1531	3241	1522_3233,1539_3249
1539_3249	1539	3249	1531_3241,1547_3257
1547_3257	1547	3257	1539_3249,1556_3266
1556_3266	1556	3266	1547_3257,1558_3261
1558_3261	1558	3261	1556_3266
1507_3237	1507	3237	1513_3227,1498_3246
1498_3246	1498	3246	1507_3237,1488_3255
1488_3255	1488	3255	1498_3246,1479_3264
1479_3264	1479	3264	1488_3255,1471_3272
1471_3272	1471	3272	1479_3264,1469_3269
1469_3269	1469	3269	1471_3272
1681_3275	1681	3275	1686_3272
