Node	X	Y	Connected_Nodes
1622_3099	1622	3099	1624_3106
1624_3106	1624	3106	1622_3099,1620_3116
1620_3116	1620	3116	1624_3106,1618_3125
1618_3125	1618	3125	1620_3116,1618_3133
1618_3133	1618	3133	1618_3125,1614_3134,1625_3140
1614_3134	1614	3134	1618_3133
1625_3140	1625	3140	1618_3133,1631_3145
1631_3145	1631	3145	1625_3140,1636_3149
1636_3149	1636	3149	1631_3145,1640_3146,1645_3154
1640_3146	1640	3146	1636_3149
1645_3154	1645	3154	1636_3149,1653_3158
1653_3158	1653	3158	1645_3154,1660_3167,1658_3145
1660_3167	1660	3167	1653_3158,1666_3179
1666_3179	1666	3179	1660_3167,1670_3174,1670_3191
1670_3174	1670	3174	1666_3179
1670_3191	1670	3191	1666_3179,1678_3197
1678_3197	1678	3197	1670_3191
1658_3145	1658	3145	1653_3158,1662_3130
1662_3130	1662	3130	1658_3145,1654_3121,1672_3128
1654_3121	1654	3121	1662_3130,1646_3111
1646_3111	1646	3111	1654_3121,1637_3107
1637_3107	1637	3107	1646_3111
1672_3128	1672	3128	1662_3130,1680_3126
1680_3126	1680	3126	1672_3128,1683_3133
1683_3133	1683	3133	1680_3126,1679_3144
1679_3144	1679	3144	1683_3133,1685_3158
1685_3158	1685	3158	1679_3144,1680_3165
1680_3165	1680	3165	1685_3158,1676_3170
1676_3170	1676	3170	1680_3165
