Node	X	Y	Connected_Nodes
983_2334	983	2334	997_2856,1263_2331,1126_2595
1543_2329	1543	2329	1529_2856,1263_2331,1406_2592
1529_2856	1529	2856	1543_2329,1254_2782,1406_2592
1012_3086	1012	3086	997_2856,1140_2971
997_2856	997	2856	983_2334,1012_3086,1254_2782,1126_2595,1140_2971
1254_2782	1254	2782	1529_2856,997_2856,1263_2331,1126_2595,1406_2592,1140_2971
1263_2331	1263	2331	983_2334,1543_2329,1254_2782,1126_2595,1406_2592
1126_2595	1126	2595	983_2334,997_2856,1254_2782,1263_2331
1406_2592	1406	2592	1543_2329,1529_2856,1254_2782,1263_2331
1140_2971	1140	2971	1012_3086,997_2856,1254_2782
