Node	X	Y	Connected_Nodes
3450_6106	3450	6106	3456_6112
3456_6112	3456	6112	3450_6106,3457_6112,3464_6120
3457_6112	3457	6112	3456_6112
3464_6120	3464	6120	3456_6112,3471_6128
3471_6128	3471	6128	3464_6120,3476_6134
3476_6134	3476	6134	3471_6128,3483_6140
3483_6140	3483	6140	3476_6134,3487_6134,3494_6151
3487_6134	3487	6134	3483_6140
3494_6151	3494	6151	3483_6140,3480_6165,3503_6160,3499_6149
3480_6165	3480	6165	3494_6151,3474_6171
3474_6171	3474	6171	3480_6165,3470_6165,3468_6175
3470_6165	3470	6165	3474_6171
3468_6175	3468	6175	3474_6171,3458_6186
3458_6186	3458	6186	3468_6175,3455_6172,3450_6194
3455_6172	3455	6172	3458_6186
3450_6194	3450	6194	3458_6186,3440_6203
3440_6203	3440	6203	3450_6194,3434_6211
3434_6211	3434	6211	3440_6203,3426_6220
3426_6220	3426	6220	3434_6211,3434_6227,3417_6228
3434_6227	3434	6227	3426_6220,3438_6220
3438_6220	3438	6220	3434_6227
3417_6228	3417	6228	3426_6220,3409_6236
3409_6236	3409	6236	3417_6228,3401_6244
3401_6244	3401	6244	3409_6236,3392_6252
3392_6252	3392	6252	3401_6244,3381_6262
3381_6262	3381	6262	3392_6252,3370_6256
3370_6256	3370	6256	3381_6262,3382_6274
3382_6274	3382	6274	3370_6256,3388_6273
3388_6273	3388	6273	3382_6274
3503_6160	3503	6160	3494_6151,3511_6169
3511_6169	3511	6169	3503_6160,3520_6179
3520_6179	3520	6179	3511_6169,3529_6188
3529_6188	3529	6188	3520_6179,3538_6197
3538_6197	3538	6197	3529_6188,3545_6205
3545_6205	3545	6205	3538_6197,3552_6197,3538_6213
3552_6197	3552	6197	3545_6205,3552_6193
3552_6193	3552	6193	3552_6197
3538_6213	3538	6213	3545_6205,3543_6217
3543_6217	3543	6217	3538_6213,3550_6216,3539_6229
3550_6216	3550	6216	3543_6217
3539_6229	3539	6229	3543_6217
3499_6149	3499	6149	3494_6151,3504_6144
3504_6144	3504	6144	3499_6149,3508_6137
3508_6137	3508	6137	3504_6144,3514_6130
3514_6130	3514	6130	3508_6137,3518_6132
3518_6132	3518	6132	3514_6130,3524_6124
3524_6124	3524	6124	3518_6132,3521_6118
3521_6118	3521	6118	3524_6124
