Node	X	Y	Connected_Nodes
1634_3198	1634	3198	1641_3205,1597_3208
1641_3205	1641	3205	1634_3198,1645_3201,1630_3205
1645_3201	1645	3201	1641_3205,1650_3206
1650_3206	1650	3206	1645_3201
1630_3205	1630	3205	1641_3205,1632_3215,1622_3197
1632_3215	1632	3215	1630_3205
1622_3197	1622	3197	1630_3205,1617_3191,1611_3205
1617_3191	1617	3191	1622_3197
1611_3205	1611	3205	1622_3197,1608_3201,1604_3214
1608_3201	1608	3201	1611_3205
1604_3214	1604	3214	1611_3205,1610_3223,1597_3208
1610_3223	1610	3223	1604_3214,1600_3233,1652_3266
1600_3233	1600	3233	1610_3223,1589_3246
1589_3246	1589	3246	1600_3233,1597_3253,1581_3254,1586_3236
1597_3253	1597	3253	1589_3246,1602_3257
1602_3257	1602	3257	1597_3253,1606_3252
1606_3252	1606	3252	1602_3257
1581_3254	1581	3254	1589_3246,1576_3258
1576_3258	1576	3258	1581_3254,1572_3254
1572_3254	1572	3254	1576_3258
1586_3236	1586	3236	1589_3246,1577_3227
1577_3227	1577	3227	1586_3236,1569_3219
1569_3219	1569	3219	1577_3227,1570_3206
1570_3206	1570	3206	1569_3219,1567_3202,1576_3199
1567_3202	1567	3202	1570_3206
1576_3199	1576	3199	1570_3206,1582_3193
1582_3193	1582	3193	1576_3199,1590_3201
1590_3201	1590	3201	1582_3193,1597_3208
1597_3208	1597	3208	1634_3198,1604_3214,1590_3201
1652_3266	1652	3266	1610_3223
