Node	X	Y	Connected_Nodes
1719_3045	1719	3045	1706_3063,1705_3032,1736_3029,1733_3064
1706_3063	1706	3063	1719_3045,1705_3032,1733_3064,1690_3022
1705_3032	1705	3032	1719_3045,1706_3063,1736_3029,1690_3022
1736_3029	1736	3029	1719_3045,1705_3032,1733_3064,1776_2970
1733_3064	1733	3064	1719_3045,1706_3063,1736_3029,1738_3083
1738_3083	1738	3083	1733_3064,1779_3105
1779_3105	1779	3105	1738_3083,1801_3086
1801_3086	1801	3086	1779_3105,1823_3118
1823_3118	1823	3118	1801_3086,1853_3065
1853_3065	1853	3065	1823_3118,1848_3002
1848_3002	1848	3002	1853_3065,1829_2980
1829_2980	1829	2980	1848_3002,1821_2941
1821_2941	1821	2941	1829_2980,1814_2920,1776_2970,1852_2940
1814_2920	1814	2920	1821_2941,1776_2970,1817_2897
1776_2970	1776	2970	1736_3029,1821_2941,1814_2920
1817_2897	1817	2897	1814_2920,1769_2829,1820_2862
1769_2829	1769	2829	1817_2897,1765_2792
1765_2792	1765	2792	1769_2829,1738_2770
1738_2770	1738	2770	1765_2792,1705_2830
1705_2830	1705	2830	1738_2770,1686_2926
1686_2926	1686	2926	1705_2830,1690_3022
1820_2862	1820	2862	1817_2897,1835_2831
1835_2831	1835	2831	1820_2862,1884_2921,1889_2794
1884_2921	1884	2921	1835_2831,1852_2940,1901_2876
1852_2940	1852	2940	1821_2941,1884_2921
1901_2876	1901	2876	1884_2921,1897_2807
1897_2807	1897	2807	1901_2876,1889_2794,1921_2775,1921_2845
1889_2794	1889	2794	1835_2831,1897_2807,1848_2734,1921_2775
1848_2734	1848	2734	1889_2794,1859_2693
1859_2693	1859	2693	1848_2734,1912_2651
1912_2651	1912	2651	1859_2693,1938_2678
1938_2678	1938	2678	1912_2651,1952_2687
1952_2687	1952	2687	1938_2678,1979_2687,1953_2717,1966_2701
1979_2687	1979	2687	1952_2687,1979_2720,1966_2701
1979_2720	1979	2720	1979_2687,1953_2717,1966_2701,2002_2746
1953_2717	1953	2717	1952_2687,1979_2720,1966_2701,1945_2726
1966_2701	1966	2701	1952_2687,1979_2687,1979_2720,1953_2717
1945_2726	1945	2726	1953_2717,1921_2775
1921_2775	1921	2775	1897_2807,1889_2794,1945_2726
1921_2845	1921	2845	1897_2807,1930_2885
1930_2885	1930	2885	1921_2845,1964_2946
1964_2946	1964	2946	1930_2885,1982_2961
1982_2961	1982	2961	1964_2946,2015_2898
2015_2898	2015	2898	1982_2961,2010_2861
2010_2861	2010	2861	2015_2898,1991_2854
1991_2854	1991	2854	2010_2861,1992_2812
1992_2812	1992	2812	1991_2854,2012_2774
2012_2774	2012	2774	1992_2812,2002_2746
2002_2746	2002	2746	1979_2720,2012_2774
1690_3022	1690	3022	1706_3063,1705_3032,1686_2926
