Node	X	Y	Connected_Nodes
1568_3310	1568	3310	1583_3288
1583_3288	1583	3288	1568_3310,1588_3284
1612_3257	1612	3257	1588_3284,1635_3281,1582_3224
1635_3281	1635	3281	1612_3257,1655_3302,1657_3257
1655_3302	1655	3302	1635_3281,1625_3331,1689_3339
1625_3331	1625	3331	1655_3302,1614_3343,1588_3284
1614_3343	1614	3343	1625_3331,1630_3358
1630_3358	1630	3358	1614_3343,1659_3392,1595_3400
1659_3392	1659	3392	1630_3358,1621_3427,1697_3353
1621_3427	1621	3427	1659_3392,1595_3400
1697_3353	1697	3353	1659_3392,1689_3339
1689_3339	1689	3339	1655_3302,1697_3353,1722_3303
1582_3224	1582	3224	1612_3257,1556_3230,1609_3195
1556_3230	1556	3230	1582_3224,1542_3248
1542_3248	1542	3248	1556_3230,1588_3284
1609_3195	1609	3195	1582_3224,1619_3155
1619_3155	1619	3155	1609_3195,1640_3095
1640_3095	1640	3095	1619_3155,1545_2925,1674_3059
1545_2925	1545	2925	1640_3095,1436_2690
1436_2690	1436	2690	1545_2925
1674_3059	1674	3059	1640_3095,1700_2998,1716_3089
1700_2998	1700	2998	1674_3059,1724_2921
1724_2921	1724	2921	1700_2998,1780_2806
1780_2806	1780	2806	1724_2921,1830_2827,1821_2703
1830_2827	1830	2827	1780_2806,1864_2914
1864_2914	1864	2914	1830_2827,1895_2992
1895_2992	1895	2992	1864_2914,1834_3074,1938_2962
1834_3074	1834	3074	1895_2992,1781_3118
1781_3118	1781	3118	1834_3074,1780_3142,1757_3123,1755_3157
1780_3142	1780	3142	1781_3118,1757_3123,1755_3157,1818_3192
1757_3123	1757	3123	1781_3118,1780_3142,1755_3157,1716_3089
1716_3089	1716	3089	1674_3059,1757_3123
1755_3157	1755	3157	1781_3118,1780_3142,1757_3123,1704_3207
1704_3207	1704	3207	1755_3157,1684_3231
1684_3231	1684	3231	1704_3207,1657_3257
1657_3257	1657	3257	1635_3281,1684_3231
1722_3303	1722	3303	1689_3339,1750_3301
1750_3301	1750	3301	1722_3303,1789_3262
1789_3262	1789	3262	1750_3301,1829_3250
1829_3250	1829	3250	1789_3262,1818_3192,1892_3205
1818_3192	1818	3192	1780_3142,1829_3250
1892_3205	1892	3205	1829_3250,1974_3154
1974_3154	1974	3154	1892_3205,2039_3110
2039_3110	2039	3110	1974_3154,2028_3024,2067_3090
2028_3024	2028	3024	2039_3110,2067_3090,1996_2922
2067_3090	2067	3090	2039_3110,2028_3024,2126_3051
2126_3051	2126	3051	2067_3090,2188_3030
2188_3030	2188	3030	2126_3051,2199_3104,2250_3001
2199_3104	2199	3104	2188_3030,2269_3193
2269_3193	2269	3193	2199_3104,2344_3381
2344_3381	2344	3381	2269_3193
2250_3001	2250	3001	2188_3030,2274_2961
2274_2961	2274	2961	2250_3001,2275_2922,2304_2960
2275_2922	2275	2922	2274_2961,2292_2906,2304_2960,2270_2898
2292_2906	2292	2906	2275_2922,2323_2938,2270_2898
2323_2938	2323	2938	2292_2906,2304_2960
2304_2960	2304	2960	2274_2961,2275_2922,2323_2938
2270_2898	2270	2898	2275_2922,2292_2906,2243_2797
2243_2797	2243	2797	2270_2898,2212_2699
2212_2699	2212	2699	2243_2797,2121_2774,2226_2668
2226_2668	2226	2668	2212_2699,2235_2657,2165_2647
2235_2657	2235	2657	2226_2668,2243_2643
2243_2643	2243	2643	2235_2657,2227_2621,2258_2659
2227_2621	2227	2621	2243_2643,2241_2603
2241_2603	2241	2603	2227_2621,2277_2640
2277_2640	2277	2640	2241_2603,2258_2659
2258_2659	2258	2659	2277_2640,2243_2643
2121_2774	2121	2774	2212_2699,2047_2855
2047_2855	2047	2855	2121_2774,1996_2922
1996_2922	1996	2922	2028_3024,2047_2855,1938_2962
1938_2962	1938	2962	1895_2992,1996_2922
1821_2703	1821	2703	1780_2806,1875_2614
1875_2614	1875	2614	1821_2703,1889_2598
1889_2598	1889	2598	1875_2614,1865_2573,1908_2575,1912_2618
1865_2573	1865	2573	1889_2598,1884_2550
1884_2550	1884	2550	1865_2573,1908_2575
1908_2575	1908	2575	1889_2598,1884_2550,1929_2598
1929_2598	1929	2598	1908_2575,1930_2613
1930_2613	1930	2613	1929_2598,1912_2618,1937_2624
1912_2618	1912	2618	1889_2598,1930_2613
1937_2624	1937	2624	1930_2613,1978_2655
1978_2655	1978	2655	1937_2624,2056_2655
2056_2655	2056	2655	1978_2655,2165_2647
2165_2647	2165	2647	2226_2668,2056_2655
1595_3400	1595	3400	1630_3358,1621_3427,1582_3384
1582_3384	1582	3384	1595_3400
1588_3284	1588	3284	1583_3288,1612_3257
