Node	X	Y	Connected_Nodes
1706_3320	1706	3320	1701_3309,1709_3317
1701_3309	1701	3309	1706_3320,1695_3299
1695_3299	1695	3299	1701_3309,1690_3289
1690_3289	1690	3289	1695_3299,1685_3281
1685_3281	1685	3281	1690_3289,1679_3274
1679_3274	1679	3274	1685_3281,1684_3270,1673_3266
1684_3270	1684	3270	1679_3274
1673_3266	1673	3266	1679_3274,1668_3269,1667_3260
1668_3269	1668	3269	1673_3266
1667_3260	1667	3260	1673_3266,1660_3253
1660_3253	1660	3253	1667_3260,1667_3245,1653_3260
1667_3245	1667	3245	1660_3253,1668_3240,1674_3238
1668_3240	1668	3240	1667_3245
1674_3238	1674	3238	1667_3245,1681_3230
1681_3230	1681	3230	1674_3238,1680_3228,1689_3223
1680_3228	1680	3228	1681_3230
1689_3223	1689	3223	1681_3230,1693_3218
1693_3218	1693	3218	1689_3223,1692_3216,1700_3211
1692_3216	1692	3216	1693_3218
1700_3211	1700	3211	1693_3218,1707_3204
1707_3204	1707	3204	1700_3211
1653_3260	1653	3260	1660_3253,1645_3267
1645_3267	1645	3267	1653_3260,1642_3266,1638_3274
1642_3266	1642	3266	1645_3267
1638_3274	1638	3274	1645_3267,1632_3281
1632_3281	1632	3281	1638_3274,1629_3279,1625_3288
1629_3279	1629	3279	1632_3281
1625_3288	1625	3288	1632_3281,1618_3295
1618_3295	1618	3295	1625_3288,1611_3302
1611_3302	1611	3302	1618_3295,1607_3300
1607_3300	1607	3300	1611_3302
1709_3317	1709	3317	1706_3320
