Node	X	Y	Connected_Nodes
1582_3137	1582	3137	1571_3132
1571_3132	1571	3132	1582_3137,1559_3113
1559_3113	1559	3113	1571_3132,1549_3101
1549_3101	1549	3101	1559_3113,1551_3088
1551_3088	1551	3088	1549_3101,1553_3073
1553_3073	1553	3073	1551_3088,1553_3059
1553_3059	1553	3059	1553_3073,1554_3046
1554_3046	1554	3046	1553_3059,1546_3035
1546_3035	1546	3035	1554_3046,1537_3024
1537_3024	1537	3024	1546_3035,1532_3011
1532_3011	1532	3011	1537_3024,1530_3000
1530_3000	1530	3000	1532_3011,1526_2988
1526_2988	1526	2988	1530_3000,1521_2975
1521_2975	1521	2975	1526_2988,1515_2962
1515_2962	1515	2962	1521_2975,1508_2952
1508_2952	1508	2952	1515_2962,1499_2944
1499_2944	1499	2944	1508_2952,1491_2933
1491_2933	1491	2933	1499_2944,1482_2922
1482_2922	1482	2922	1491_2933,1473_2913
1473_2913	1473	2913	1482_2922,1465_2903
1465_2903	1465	2903	1473_2913,1456_2895
1456_2895	1456	2895	1465_2903,1451_2886
1451_2886	1451	2886	1456_2895,1444_2876
1444_2876	1444	2876	1451_2886,1437_2865
1437_2865	1437	2865	1444_2876,1430_2857
1430_2857	1430	2857	1437_2865,1423_2847
1423_2847	1423	2847	1430_2857,1415_2837
1415_2837	1415	2837	1423_2847,1407_2825
1407_2825	1407	2825	1415_2837,1398_2813
1398_2813	1398	2813	1407_2825,1389_2802
1389_2802	1389	2802	1398_2813,1381_2790
1381_2790	1381	2790	1389_2802,1372_2779
1372_2779	1372	2779	1381_2790,1364_2773
1364_2773	1364	2773	1372_2779,1357_2762
1357_2762	1357	2762	1364_2773,1360_2748
1360_2748	1360	2748	1357_2762,1361_2734
1361_2734	1361	2734	1360_2748,1360_2720
1360_2720	1360	2720	1361_2734,1360_2705
1360_2705	1360	2705	1360_2720,1359_2691
1359_2691	1359	2691	1360_2705,1353_2679
1353_2679	1353	2679	1359_2691,1347_2666
1347_2666	1347	2666	1353_2679,1342_2652
1342_2652	1342	2652	1347_2666,1338_2638
1338_2638	1338	2638	1342_2652,1330_2626
1330_2626	1330	2626	1338_2638,1323_2615
1323_2615	1323	2615	1330_2626,1317_2602
1317_2602	1317	2602	1323_2615,1315_2588
1315_2588	1315	2588	1317_2602,1311_2576
1311_2576	1311	2576	1315_2588,1306_2566
1306_2566	1306	2566	1311_2576
