Node	X	Y	Connected_Nodes
1443_2998	1443	2998	1440_2985,1452_2996,1429_2974,1419_2965
1440_2985	1440	2985	1443_2998,1448_2971,1452_2996,1429_2974
1448_2971	1448	2971	1440_2985,1460_2982
1460_2982	1460	2982	1448_2971,1452_2996
1452_2996	1452	2996	1443_2998,1440_2985,1460_2982,1462_3007
1462_3007	1462	3007	1452_2996,1481_2984
1481_2984	1481	2984	1462_3007,1488_2957,1471_2954
1488_2957	1488	2957	1481_2984,1471_2954,1504_2935
1471_2954	1471	2954	1481_2984,1488_2957,1451_2948,1463_2927
1451_2948	1451	2948	1451_2948,1471_2954,1429_2974,1463_2927
1429_2974	1429	2974	1443_2998,1440_2985,1451_2948,1419_2965
1419_2965	1419	2965	1443_2998,1429_2974,1388_2917
1388_2917	1388	2917	1419_2965,1373_2880
1373_2880	1373	2880	1388_2917,1389_2838
1389_2838	1389	2838	1373_2880,1428_2843
1428_2843	1428	2843	1389_2838,1421_2799
1421_2799	1421	2799	1428_2843,1395_2705
1395_2705	1395	2705	1421_2799,1435_2656
1435_2656	1435	2656	1395_2705,1403_2577
1403_2577	1403	2577	1435_2656,1409_2540
1409_2540	1409	2540	1403_2577,1427_2550
1427_2550	1427	2550	1409_2540,1446_2554
1446_2554	1446	2554	1427_2550,1446_2507
1446_2507	1446	2507	1446_2554,1411_2469
1411_2469	1411	2469	1446_2507,1428_2436
1428_2436	1428	2436	1411_2469,1444_2424
1444_2424	1444	2424	1428_2436,1465_2402,1456_2438
1465_2402	1465	2402	1444_2424,1491_2420
1491_2420	1491	2420	1465_2402,1497_2441
1497_2441	1497	2441	1491_2420,1481_2464,1507_2429
1481_2464	1481	2464	1497_2441,1465_2447,1490_2518
1465_2447	1465	2447	1481_2464,1456_2438,1475_2434
1456_2438	1456	2438	1444_2424,1465_2447,1464_2425
1464_2425	1464	2425	1456_2438,1475_2434
1475_2434	1475	2434	1465_2447,1464_2425
1490_2518	1490	2518	1481_2464,1484_2554
1484_2554	1484	2554	1490_2518,1486_2597,1525_2588
1486_2597	1486	2597	1484_2554,1493_2623
1493_2623	1493	2623	1486_2597,1480_2688
1480_2688	1480	2688	1493_2623,1480_2688
1453_2716	1453	2716	1461_2821,1453_2711
1461_2821	1461	2821	1453_2716,1463_2927,1515_2768
1463_2927	1463	2927	1471_2954,1451_2948,1461_2821
1504_2935	1504	2935	1488_2957,1538_2847
1538_2847	1538	2847	1504_2935,1515_2768
1515_2768	1515	2768	1461_2821,1538_2847,1525_2709
1525_2709	1525	2709	1515_2768,1559_2674
1559_2674	1559	2674	1525_2709,1559_2623
1559_2623	1559	2623	1559_2674,1525_2588,1564_2560
1525_2588	1525	2588	1484_2554,1559_2623
1564_2560	1564	2560	1559_2623,1556_2501
1556_2501	1556	2501	1564_2560,1520_2448
1520_2448	1520	2448	1556_2501,1507_2429
1507_2429	1507	2429	1497_2441,1520_2448
1453_2711	1453	2711	1453_2716,1461_2704
1461_2704	1461	2704	1453_2711,1472_2696
1472_2696	1472	2696	1461_2704,1480_2688,1480_2688
1480_2688	1480	2688	1472_2696,1480_2688
